Slug (URL: /employer/resources/…),Title,Topic Cluster,Role (Pillar/Hub/Flagship/Spoke),Status,Target Persona,Search Intent,Primary Keyword,Secondary Keywords,Links OUT,Links IN (live+planned),Orphan check,CTA,Statistics Used,Schema,Visual Assets,Content Owner,Last Updated,Refresh Date,Notes
recruiting-metrics,10 Recruiting Metrics That Actually Matter in 2026,Metrics & ROI,HUB,DRAFTED,TA ops / HR analyst,Informational (SERP-verified),recruiting metrics (450/mo KD13),recruiting KPIs; recruitment metrics benchmarks; hiring metrics that matter,8,10,ok,virtual-hiring-events pillar (soft CTA — informational intent),"CareerPlug funnel 180 applicants : 5 interviews : 1 hire, ~27% interview-to-hire; SHRM $5,475; Workable TTF by industry",Article + FAQPage (4 Q),1600x900 card (illustration); funnel chart; compare #1,Scott Lobenberg,2026-07-21 (draft),2026-10-15 (quarterly — stats-heavy),Wk2 Thu; METRICS HUB
virtual-hiring-event-statistics,Virtual Hiring Event Statistics 2026,Hiring Events,FLAGSHIP,DRAFTED,Recruiters + journalists + AI engines (citation bank),Informational (SERP-verified),virtual hiring event statistics,virtual job fair statistics; hiring event benchmarks 2026; career fair statistics,5,13,ok,pillar CTA + downloadable PDF report (host at stable /downloads/ URL),"JobFairX FIRST-PARTY: 582 healthcare events in 2025, 91% show, 35 interviews, 8 hires, 4-day median; NACE 93.9/33.2/6.3% + attendance 295→93 vs 419→700; Indeed ~45%; Data Intelo market size; SHRM $5,475; NSI $60,090",Article + FAQPage (4 Q),"1600x900 card (illustration); 5 charts (show rate, attendance, speed, funnel, cost); downloadable PDF report",Scott Lobenberg,2026-07-21 (draft),2026-10-15 (quarterly — stats-heavy) — THE refresh priority; bump dateModified + PDF,Wk3 Tue; CITATION BANK — every later post cites it
healthcare-recruiting-strategies,Healthcare Recruiting Strategies That Fill Shifts,Healthcare,HUB,DRAFTED,Hospital TA leadership,Informational (SERP-verified),healthcare recruiting strategies (70/mo KD0),hospital recruiting strategies; healthcare talent acquisition,7,4,ok,healthcare job fairs calendar (NEW page once live),NSI turnover/vacancy set; JobFairX 91% show + 4-day median (flagship cites),Article + FAQPage (4 Q),1600x900 card (iStock photo); healthcare candidates widget #6,Scott Lobenberg,2026-07-21 (draft),+12 months from last update,Wk3 Thu; HEALTHCARE HUB
how-to-host-a-job-fair,How to Host a Job Fair: Step-by-Step (+ Checklist),Hiring Events,Spoke,PLANNED Wk4,SMB employer / HR generalist,Informational (SERP-verified Jul 21),how to host a job fair (60/mo KD8 — Ahrefs verified Jul 21),job fair planning checklist; how to organize a job fair; hosting a job fair cost,9,4,ok,hiring event calendar (evergreen card — honest 'when not to host' section),"NACE 45% invitation / 24% offer; CareerPlug ~27%; $800–$3,000+ DIY hard costs; JobFairX 91% show rate",Article + FAQPage (4 Q) — NO HowTo (deprecated 2023),1600x900 card (illustration); planning checklist #8 (crawlable HTML),Scott Lobenberg,2026-07-21 (draft),+12 months from last update,In-person/general angle; pair with contrarian post
nurse-recruitment-strategies,Nurse Recruitment Strategies for 2026,Healthcare,Spoke,PLANNED Wk4,—,—,nurse recruitment strategies (150/mo KD1),—,5,3,ok,—,—,—,—,Scott Lobenberg,—,—,
recruitment-marketing,Recruitment Marketing: The Employer's Guide,Hiring Events,Spoke,PLANNED Wk5,—,—,recruitment marketing (1.2K/mo KD10),—,0,0,ORPHAN,—,—,—,—,Scott Lobenberg,—,—,Biggest pure-SEO swing
interview-no-shows-candidate-ghosting,Interview No-Shows and Candidate Ghosting,Metrics & ROI,Spoke,PLANNED Wk5,—,—,"candidate ghosting (150/mo KD1 — Ahrefs verified; ""interview no shows"" has ~0 volume, ghosting is the head term)",—,4,3,ok,—,—,—,—,Scott Lobenberg,—,—,Cites 91% show rate from flagship
diversity-recruiting-strategies,Diversity Recruiting Strategies That Work,Verticals,Spoke,PLANNED Wk6,—,—,diversity recruiting strategies (100/mo KD1),—,4,3,ok,—,—,—,—,Scott Lobenberg,—,—,Ties to DiversityX events
entry-level-hiring,Entry-Level Hiring: Recruit Early-Career Talent at Scale,Verticals,Spoke,PLANNED Wk6,—,—,entry level hiring (100/mo KD0),—,6,4,ok,—,—,—,—,Scott Lobenberg,—,—,Feeds entry-level AEO prompts
veteran-hiring,"Veteran Hiring: Events, Programs, How to Recruit Veterans",Verticals,Spoke,PLANNED Wk7,—,—,veteran hiring events (30/mo KD15),—,3,3,ok,—,—,—,—,Scott Lobenberg,—,—,
offer-acceptance-rate,Offer Acceptance Rate: Benchmarks and How to Improve It,Metrics & ROI,Spoke,PLANNED Wk7,—,—,offer acceptance rate (80/mo KD2),—,4,3,ok,—,—,—,—,Scott Lobenberg,—,—,Completes metrics set
seasonal-warehouse-hiring,Seasonal and Warehouse Hiring: A High-Volume Playbook,Verticals,Spoke,PLANNED Wk8,—,—,seasonal hiring (800/mo KD0) + warehouse hiring (5.8K/mo KD0) — Ahrefs verified Jul 21,—,4,3,ok,—,—,—,—,Scott Lobenberg,—,—,
campus-recruiting,Campus Recruiting in 2026: A Practical Guide,Verticals,Spoke,PLANNED Wk8,—,—,campus recruiting (250/mo KD0),—,4,4,ok,—,—,—,—,Scott Lobenberg,—,—,Pairs with entry-level post
12-best-recruitment-websites,12 Best Recruitment Websites,Hiring Events,Spoke,LIVE (found in audit),—,—,best recruitment websites (80/mo KD58 — HARD head term vs our DR39; expect long-tail wins first),—,0,3,ok,—,—,—,—,Scott Lobenberg,—,—,"AUDIT FIND Jul 21: live but orphaned + untracked. Pos 69.6, 4.4K impr/6mo. Fixes queued: H1, 2 links in, title year. Temper head-term expectations (KD58)"
